feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Agathobacter	DS	DS	0.00651583297717379	0.00529855942718847	35	35	0.228047389010156	0.979403392350286
Agathobacter	Group	V	-0.518627368101521	0.387611736406545	35	35	0.190626842050004	0.979403392350286
Agathobacter	age_years	age_years	-0.0118614159598009	0.0455802386067068	35	35	0.796405922505234	0.979403392350286
Agathobaculum	DS	DS	0.0053860618563605	0.00666410001371139	35	32	0.425122786371878	0.979403392350286
Agathobaculum	Group	V	-0.0685938221625217	0.487506729592762	35	32	0.889014621743657	0.979403392350286
Agathobaculum	age_years	age_years	0.0202014785729067	0.0573271420086913	35	32	0.726930804142313	0.979403392350286
Alistipes	DS	DS	-0.018235649629291	0.0111888493779784	35	27	0.113263429407327	0.979403392350286
Alistipes	Group	V	-1.19013280262013	0.818511030287858	35	27	0.15599063950357	0.979403392350286
Alistipes	age_years	age_years	0.150255924399533	0.0962507699292462	35	27	0.128655038568997	0.979403392350286
Anaerostipes	DS	DS	0.000605004800638423	0.00831099996354469	35	31	0.942436385577217	0.979403392350286
Anaerostipes	Group	V	-0.350296449299559	0.607984334499321	35	31	0.568666674436648	0.979403392350286
Anaerostipes	age_years	age_years	-0.0060177249989343	0.0714944064711013	35	31	0.933462035506439	0.979403392350286
Bacteroides	DS	DS	0.000258029776306424	0.00689236312436154	35	34	0.970376575521193	0.979403392350286
Bacteroides	Group	V	0.771651014725833	0.504205128826082	35	34	0.136051956830132	0.979403392350286
Bacteroides	age_years	age_years	0.0821178830561028	0.0592907487571889	35	34	0.175938481285961	0.979403392350286
Blautia	DS	DS	0.00104834873988193	0.00449536203251794	35	35	0.817133917114676	0.979403392350286
Blautia	Group	V	-0.00855877860390183	0.328854494725355	35	35	0.979403392350286	0.979403392350286
Blautia	age_years	age_years	0.0162297922925377	0.0386708268315907	35	35	0.677605767647379	0.979403392350286
Collinsella	DS	DS	-0.00704518739502185	0.00876880322641761	35	28	0.427839601354357	0.979403392350286
Collinsella	Group	V	0.199583081434094	0.641474553886917	35	28	0.757783126965332	0.979403392350286
Collinsella	age_years	age_years	0.0222200750483096	0.0754326055690681	35	28	0.770287101158777	0.979403392350286
Coprococcus	DS	DS	0.00360096491429658	0.0044317081312361	35	35	0.422675009164078	0.979403392350286
Coprococcus	Group	V	-0.634394486192024	0.324197946177782	35	35	0.0594282937231976	0.979403392350286
Coprococcus	age_years	age_years	-0.019034147727029	0.0381232515805166	35	35	0.621107717363929	0.979403392350286
Dorea	DS	DS	0.00105389194341575	0.00466431017067692	35	35	0.822724920365149	0.979403392350286
Dorea	Group	V	0.0691020226663734	0.341213756161289	35	35	0.840834867917214	0.979403392350286
Dorea	age_years	age_years	-0.00404419668717058	0.040124183457154	35	35	0.920364647914647	0.979403392350286
X.Eubacterium.	DS	DS	-0.000188910753939845	0.00388970963193535	35	35	0.961576087329384	0.979403392350286
X.Eubacterium.	Group	V	0.0965340101943444	0.284548493844437	35	35	0.73670650884786	0.979403392350286
X.Eubacterium.	age_years	age_years	0.00545814644950039	0.0334607727950869	35	35	0.871482120954395	0.979403392350286
Faecalibacterium	DS	DS	0.00575808184685223	0.00389328938306315	35	35	0.149237295755794	0.979403392350286
Faecalibacterium	Group	V	-0.50090082268524	0.284810367580047	35	35	0.0884948960626987	0.979403392350286
Faecalibacterium	age_years	age_years	-0.00743306073080042	0.0334915671860529	35	35	0.825817558463325	0.979403392350286
Fusicatenibacter	DS	DS	0.000352877982778131	0.00727310692848927	35	26	0.961614515231826	0.979403392350286
Fusicatenibacter	Group	V	0.0951260051048564	0.532058127187618	35	26	0.859266955761751	0.979403392350286
Fusicatenibacter	age_years	age_years	-0.0229587097086105	0.0625660528617568	35	26	0.716148218970643	0.979403392350286
Intestinimonas	DS	DS	-0.000389801779270085	0.00313881893183378	35	35	0.901968666125869	0.979403392350286
Intestinimonas	Group	V	0.0746118646347251	0.229617705180558	35	35	0.747409658539453	0.979403392350286
Intestinimonas	age_years	age_years	0.0535674850085433	0.0270013232506382	35	35	0.0561841803758396	0.979403392350286
