feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Bacteroides	DS	DS	-0.0273134341958473	0.0132135758048133	35	34	0.0474500388588054	0.838250046803733
Bacteroides	DS_GroupV	DS_GroupV	0.0361084856123456	0.0151232148821932	35	34	0.0234586205981439	0.838250046803733
Bacteroides	Group	V	1.20117439048081	0.503102171134706	35	34	0.0234631029487022	0.838250046803733
Faecalibacterium	Group	V	-0.611306693780297	0.304846562669293	35	35	0.054026098097544	0.838250046803733
Intestinimonas	age_years	age_years	0.0525415615203649	0.0265602675898965	35	35	0.0571534122820727	0.838250046803733
Lachnoclostridium	age_years	age_years	0.0658675213367463	0.028849211574535	35	35	0.029674581724963	0.838250046803733
Agathobacter	DS	DS	0.00908498490856935	0.0110682228467524	35	35	0.418225476329535	0.933099928321153
Agathobacter	DS_GroupV	DS_GroupV	-0.00336464489678239	0.0126678133873847	35	35	0.792359576304979	0.933099928321153
Agathobacter	Group	V	-0.55865102486182	0.421418624833974	35	35	0.194964320450895	0.933099928321153
Agathobacter	age_years	age_years	-0.0121922359512609	0.0462960576135337	35	35	0.794078448076486	0.933099928321153
Agathobaculum	DS	DS	-0.0045411376299788	0.013781905074467	35	32	0.744067390751906	0.933099928321153
Agathobaculum	DS_GroupV	DS_GroupV	0.0130009831971707	0.0157736796614304	35	32	0.416319668802215	0.933099928321153
Agathobaculum	Group	V	0.0860575318414587	0.524741104736466	35	32	0.870831093542356	0.933099928321153
Agathobaculum	age_years	age_years	0.0214797665593662	0.0576468219140519	35	32	0.712058509283583	0.933099928321153
Alistipes	DS	DS	-0.0211498530598465	0.0233920618565077	35	27	0.373121306450401	0.933099928321153
Alistipes	DS_GroupV	DS_GroupV	0.00381653555828367	0.0267727058306696	35	27	0.887596160309155	0.933099928321153
Alistipes	Group	V	-1.14473374450726	0.890644385832291	35	27	0.208526234720649	0.933099928321153
Alistipes	age_years	age_years	0.150631175369407	0.0978440946123507	35	27	0.134164268644313	0.933099928321153
Anaerostipes	DS	DS	0.0139304823661391	0.0171569603035843	35	31	0.423220103014945	0.933099928321153
