feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Escherichia.Shigella	DS	DS	0.0181721338577025	0.00765237426917581	35	27	0.0239344091175149	0.323114523086451
Streptococcus	Group	V	1.06270304361659	0.4046500682885	35	35	0.0132941215452004	0.323114523086451
Desulfovibrio	age_years	age_years	0.0555595998310415	0.0448715080765204	35	35	0.22493966769328	0.867624432531224
Helicobacter	Group	V	-0.636940594267774	0.435415824067554	35	35	0.153578812196241	0.867624432531224
Staphylococcus	age_years	age_years	0.121425802405592	0.0948483681696143	35	15	0.209968487895173	0.867624432531224
Treponema	DS	DS	-0.0061900666517822	0.00465331564873282	35	35	0.193140456015884	0.867624432531224
Treponema	age_years	age_years	0.0625619952744359	0.0400296043662776	35	35	0.128229914492899	0.867624432531224
Campylobacter	Group	V	-0.484333480592085	0.573242819350809	35	35	0.404639927375368	0.905210148915612
Campylobacter	age_years	age_years	-0.0361896069259985	0.0674090643586355	35	35	0.595192982552136	0.905210148915612
Clostridium	DS	DS	0.00681770281129689	0.00794015867384515	35	34	0.397132348531283	0.905210148915612
Desulfovibrio	DS	DS	0.00273731012744646	0.00521617173140526	35	35	0.603473432610408	0.905210148915612
Desulfovibrio	Group	V	-0.276044716732878	0.381584732602982	35	35	0.474847607350146	0.905210148915612
Escherichia.Shigella	age_years	age_years	0.0397870240899812	0.065828655862021	35	27	0.549974240945548	0.905210148915612
Helicobacter	DS	DS	0.00465887957916541	0.00595202983467045	35	35	0.43971980922428	0.905210148915612
Helicobacter	age_years	age_years	-0.0320029097439131	0.0512016414624742	35	35	0.536521018987249	0.905210148915612
Staphylococcus	Group	V	0.707015860349593	0.80658508611102	35	15	0.387470885560171	0.905210148915612
Streptococcus	age_years	age_years	-0.032696575900466	0.0475838188900067	35	35	0.497105517469682	0.905210148915612
Treponema	Group	V	0.27436567339254	0.340409460993844	35	35	0.426390052297391	0.905210148915612
Enterococcus	age_years	age_years	-0.0391095710741646	0.0831602196191147	35	8	0.641438555082525	0.91151794669622
Campylobacter	DS	DS	-0.00259007891176889	0.00783609178787509	35	35	0.743221660201816	0.956523326401965
Streptococcus	DS	DS	0.00182285039857199	0.00553146933557683	35	35	0.743962587201528	0.956523326401965
Clostridium	Group	V	0.161372231409758	0.58085574639779	35	34	0.782996519893703	0.960950274414999
Clostridium	age_years	age_years	0.00998726854239313	0.0683042875902997	35	34	0.884696546999846	0.995283615374827
Staphylococcus	DS	DS	-0.00162517786321409	0.0110258245827745	35	15	0.883772855110817	0.995283615374827
Enterococcus	DS	DS	-2.66877331545046e-05	0.00966711406300292	35	8	0.997814994333916	0.997814994333916
Enterococcus	Group	V	-0.0202171067746469	0.707189740813943	35	8	0.977376474369787	0.997814994333916
Escherichia.Shigella	Group	V	-0.00781080289015357	0.559803116086197	35	27	0.988957075211729	0.997814994333916
