feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Streptococcus	Group	V	1.22309897113717	0.432779275377784	35	35	0.00830364455481356	0.298931203973288
Campylobacter	DS	DS	-0.0181601065953556	0.0160620834889318	35	35	0.267173440729503	0.927182971641177
Campylobacter	DS_GroupV	DS_GroupV	0.0203910144620694	0.0183833917212899	35	35	0.276153127984504	0.927182971641177
Campylobacter	Group	V	-0.24177505649074	0.611558082051103	35	35	0.695387228730882	0.927182971641177
Campylobacter	age_years	age_years	-0.0341847132634748	0.0671843305734633	35	35	0.614600536102166	0.927182971641177
Clostridium	DS	DS	0.0150362537864419	0.0165167793559508	35	34	0.369888285599109	0.927182971641177
Clostridium	DS_GroupV	DS_GroupV	-0.0107632815558894	0.0189038006858693	35	34	0.573343063573262	0.927182971641177
Desulfovibrio	DS	DS	0.00455259692341461	0.010902332217495	35	35	0.679227736636968	0.927182971641177
Desulfovibrio	Group	V	-0.304324249272578	0.415102398478356	35	35	0.469169199223044	0.927182971641177
Desulfovibrio	age_years	age_years	0.055325852205998	0.0456021718618657	35	35	0.234508948908003	0.927182971641177
Enterococcus	age_years	age_years	-0.0399085295840432	0.0843914791196997	35	8	0.639708868965136	0.927182971641177
Escherichia.Shigella	DS	DS	0.0188191168107366	0.0160033473324843	35	27	0.24886321851326	0.927182971641177
Escherichia.Shigella	age_years	age_years	0.0397037145385366	0.066938649535004	35	27	0.557535720714751	0.927182971641177
Helicobacter	DS	DS	0.00646066389952144	0.0124421823730546	35	35	0.607392982978476	0.927182971641177
Helicobacter	Group	V	-0.665009777842622	0.473731642214328	35	35	0.170655170810245	0.927182971641177
Helicobacter	age_years	age_years	-0.032234918706166	0.0520430424971107	35	35	0.540335582365012	0.927182971641177
Staphylococcus	DS	DS	0.010676194099024	0.022915383545559	35	15	0.64465467703675	0.927182971641177
Staphylococcus	DS_GroupV	DS_GroupV	-0.0161102766599262	0.0262271374975669	35	15	0.543674331090824	0.927182971641177
Staphylococcus	Group	V	0.515378346397685	0.872495029691786	35	15	0.55914906740889	0.927182971641177
Staphylococcus	age_years	age_years	0.11984180119579	0.0958502490914974	35	15	0.220854102055109	0.927182971641177
Streptococcus	DS	DS	-0.00847309805624874	0.011366601239384	35	35	0.4618077859176	0.927182971641177
Streptococcus	DS_GroupV	DS_GroupV	0.0134839088349397	0.0130093137211798	35	35	0.308260481524157	0.927182971641177
Streptococcus	age_years	age_years	-0.0313708055019649	0.0475441119260612	35	35	0.514400116116169	0.927182971641177
Treponema	DS	DS	-0.0101853639693742	0.00969592811001196	35	35	0.301887038259937	0.927182971641177
Treponema	DS_GroupV	DS_GroupV	0.00523237126091731	0.0110971932545764	35	35	0.640692000629169	0.927182971641177
Treponema	Group	V	0.336606604549846	0.369168993720543	35	35	0.369145479411982	0.927182971641177
Treponema	age_years	age_years	0.0630764546212475	0.0405560361959557	35	35	0.130364277687366	0.927182971641177
Enterococcus	DS_GroupV	DS_GroupV	-0.00812590454748683	0.0230917180442857	35	8	0.727375460029621	0.935197020038084
Enterococcus	DS	DS	0.00617803341958174	0.0201758798786106	35	8	0.761560665478926	0.945385653697977
Clostridium	Group	V	0.0333391403042623	0.628870464504	35	34	0.958071952166427	0.976771703129876
Clostridium	age_years	age_years	0.00892899677178052	0.0690862281362078	35	34	0.898027033220753	0.976771703129876
Desulfovibrio	DS_GroupV	DS_GroupV	-0.0023773586060101	0.0124779480798963	35	35	0.850181360208863	0.976771703129876
Enterococcus	Group	V	-0.116877653266963	0.768189407729017	35	8	0.880089689735104	0.976771703129876
Escherichia.Shigella	DS_GroupV	DS_GroupV	-0.000847309909791447	0.0183161669572722	35	27	0.963409422232962	0.976771703129876
Escherichia.Shigella	Group	V	-0.0178898578987587	0.609321723909346	35	27	0.976771703129876	0.976771703129876
Helicobacter	DS_GroupV	DS_GroupV	-0.0023596753249604	0.0142403389067929	35	35	0.869501873684034	0.976771703129876
